author,work,short_work,year,source_type,gutenberg_id,doc_unit,expected_genre,author_slug,raw_file,manual_file
Jane Austen,Pride and Prejudice,Pride_and_Prejudice,1813,gutenberg,1342,chapter,Fiction,Jane_Austen,Jane_Austen__Pride_and_Prejudice__raw.txt,Jane_Austen__Pride_and_Prejudice__manual.txt
Jane Austen,Emma,Emma,1815,gutenberg,158,chapter,Fiction,Jane_Austen,Jane_Austen__Emma__raw.txt,Jane_Austen__Emma__manual.txt
Jane Austen,Persuasion,Persuasion,1817,gutenberg,105,chapter,Fiction,Jane_Austen,Jane_Austen__Persuasion__raw.txt,Jane_Austen__Persuasion__manual.txt
James Fenimore Cooper,The Pioneers,The_Pioneers,1823,gutenberg,2275,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__The_Pioneers__raw.txt,James_Fenimore_Cooper__The_Pioneers__manual.txt
James Fenimore Cooper,The Last of the Mohicans,Last_of_the_Mohicans,1826,gutenberg,940,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__Last_of_the_Mohicans__raw.txt,James_Fenimore_Cooper__Last_of_the_Mohicans__manual.txt
James Fenimore Cooper,The Prairie,The_Prairie,1827,gutenberg,6450,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__The_Prairie__raw.txt,James_Fenimore_Cooper__The_Prairie__manual.txt
Walter Scott,Ivanhoe,Ivanhoe,1819,gutenberg,82,chapter,Historical_Romance,Walter_Scott,Walter_Scott__Ivanhoe__raw.txt,Walter_Scott__Ivanhoe__manual.txt
Walter Scott,Rob Roy,Rob_Roy,1817,gutenberg,7025,chapter,Historical_Romance,Walter_Scott,Walter_Scott__Rob_Roy__raw.txt,Walter_Scott__Rob_Roy__manual.txt
Walter Scott,The Talisman,The_Talisman,1825,gutenberg,1377,chapter,Historical_Romance,Walter_Scott,Walter_Scott__The_Talisman__raw.txt,Walter_Scott__The_Talisman__manual.txt
Ethan Smith,View of the Hebrews,View_of_the_Hebrews,1823,manual,NA,chapter,Religious_Prose,Ethan_Smith,Ethan_Smith__View_of_the_Hebrews__raw.txt,Ethan_Smith__View_of_the_Hebrews__manual.txt
Solomon Spaulding,Manuscript Story,Manuscript_Story,1812,manual,NA,chapter,Biblical_Imitation,Solomon_Spaulding,Solomon_Spaulding__Manuscript_Story__raw.txt,Solomon_Spaulding__Manuscript_Story__manual.txt
Solomon Spaulding,Conneaut Creek Manuscript,Conneaut_Creek,1812,manual,NA,chapter,Biblical_Imitation,Solomon_Spaulding,Solomon_Spaulding__Conneaut_Creek__raw.txt,Solomon_Spaulding__Conneaut_Creek__manual.txt
Jonathan Edwards,Selected Sermons,Selected_Sermons,1741,manual,NA,sermon,Sermon,Jonathan_Edwards,Jonathan_Edwards__Selected_Sermons__raw.txt,Jonathan_Edwards__Selected_Sermons__manual.txt
Alexander Campbell,The Christian Baptist,Christian_Baptist,1823,manual_folder,NA,article,Restoration_Prose,Alexander_Campbell,Alexander_Campbell__Christian_Baptist__raw.txt,Alexander_Campbell__Christian_Baptist__manual.txt
