doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
JS-1,Mosiah_12,0.9323251709727277,1,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,12,Mosiah 12,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,Helaman_12,0.9234461243571738,2,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Helaman,12,Helaman 12,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,1_Nephi_22,0.92232725052206,3,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,1 Nephi,22,1 Nephi 22,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,1_Nephi_21,0.9217122245572935,4,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,1 Nephi,21,1 Nephi 21,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Mosiah_3,0.9204007280667847,5,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,3,Mosiah 3,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_6,0.9165729037552627,6,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,6,2 Nephi 6,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,3_Nephi_20,0.9149142843153981,7,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,3 Nephi,20,3 Nephi 20,MP-2,MP-2_3Nephi_to_Moroni
JS-1,2_Nephi_28,0.9142762280648202,8,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,28,2 Nephi 28,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,2_Nephi_12,0.9131493648987252,9,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,12,2 Nephi 12,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Alma_40,0.9111795427844449,10,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Alma,40,Alma 40,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,Mosiah_16,0.9107727991895939,11,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,16,Mosiah 16,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_9,0.9094511065426012,12,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,9,2 Nephi 9,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Mosiah_13,0.9092413251693585,13,Joseph Smith,JS,JS-1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,13,Mosiah 13,MP-1,MP-1_Mosiah_Alma_Helaman
